"Name","Type","Ratings","Price","Address","d1","d2","d3","Timeings","d4"
"J Brew & Kitchen Rooftop Restaurant","·  · North Indian","4.9","₹400–600","97 A, 5, Bhawani Singh Ln, near News 18 Channel","Dine-in","Kerbside pickup","Delivery","",""
"Suvarna Mahal","·  · North Indian","4.7","₹₹","RAMBAGH PALACE, Bhawani Singh Rd","","","","⋅ Opens 7 pm","Elegant North Indian hotel restaurant"
"The Magnolia","·  · Restaurant","4.3","₹400–800","Garden Theatre, Smriti Van, Jawahar Lal Nehru Marg","Dine-in","Takeaway","Delivery","",""
"","","","","","","","","",""
"Govindam Retreat","·  · Restaurant","4.4","₹200–600","First Floor, All Rajasthan Shilp Gram Udyog, Brahampuri, Rajamal Ka Talab Rd, near Govind Dev Ji Temple, above All Rajasthan Shilp Gram Udyog","","","","","Rajasthani decor & the region's cuisine"
"Annpoornam - Best South Indian Restaurant In Jaipur","·  · South Indian","4.5","₹200–400","Ground Floor, Moondra Tower, Plot No 012A, Ashok Marg, near Ahinsa Circle","","","","",""
"Peacock Restaurant","·  · North Indian","4.4","₹₹","51, Hathroi Fort, Hari Kishan Somani Marg, near Native Cocktail bar, Ajmer Rd","","","","⋅ 11 am","Arty rooftop venue serving global fare"
"4 THE TASTE - MULTI CUISINE RESTAURANT","·  · North Indian","4.7","₹200–400","1 st floor, Aaradhya fashion, 94/19, Madhyam Marg, near Falahaar & Kota Kachori, opp. Radha Govind Juice Corner","","","","",""
"Monarch Restaurant","· Indian","4.6","","Holiday Inn, Sardar Patel Marg","Dine-in","Drive-through","No-contact delivery","",""
"Brewlicious Rooftop Bar Restaurant in Jaipur","·  · North Indian","4.8","₹₹","10th floor, Gadi, Okay Plus Tower, 5, Ajmer Rd, near kalyan jewellers","Dine-in","Drive-through","No-contact delivery","⋅ 11 am",""
"Zolocrust","·  · Cafe","4.7","₹₹₹","Hotel, Clarks Amer, Jawahar Lal Nehru Marg","","","","","Hotel's 24-hour vegetarian bakery-cafe"
"Thali & more","·  · North Indian","4.4","₹200–600","1st floor plot no, C 46, Sarojini Marg","","","","⋅ 11 am",""
"Handi restaurant jaipur","·  · Restaurant","4.1","₹₹","Mirza Ismail Rd, opp. GPO","","","","⋅ Opens 12 pm","Vintage address for non-veg specialties"
"Cafesa - Pure Veg. Multi Cuisine Cafe and Restaurant","·  · Restaurant","4.8","₹400–600","12, Shiv Marg","","","","",""
"Akuri","·  · Restaurant","4.5","₹₹","Akuri, K10, Tonk Rd","Dine-in","Kerbside pickup","No-contact delivery","",""
"Jaipur Modern - Store & Kitchen","·  · Continental restaurant","4.4","₹₹","51, Dhuleshwar Garden, Sardar Patel Marg, near Kotak Bank","","","","","Bohemian cafe with global flair"
"Stardust Jaipur","·  · North Indian","4.2","₹₹₹","Terrace floor, Signature Tower, Tonk Rd","Dine-in","Drive-through","No-contact delivery","⋅ Opens 12 pm",""
"Pakwaan Candlelight Dinner Restaurant","·  · North Indian","4.8","₹2,000+","A- 40, near Peetal factory","","","","","Romantic restaurant offering city views"
"The Lama","·  · Pan Asian","4.7","₹₹","145, Ramesh Marg, above OTH E","Dine-in","Drive-through","No-contact delivery","⋅ Opens 12 pm",""
"Jaipur Restaurant","·  · Vegetarian","4.9","₹1–200","VQG8+2G5","","","","",""
"The Glass Box (High Dining)","· Restaurant","4.6","⋅ 11 am","Vinayak Sarovar, T-Point, A-101, 200ft. Road, near Patrakar Colony Road","Dine-in","Drive-through","No-contact delivery","",""
"","","","","","","","","",""
"","","","","","","","","",""