"Model","Ratings","R2","Review","Storage","Display Size","Camera","Battery","Processor","Warranty","Final_Price","Actual-Price","Discount","Exchange Offer","Bank Offer"
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","4.4","3,948 Ratings","470 Reviews","8 GB RAM | 128 GB ROM | Expandable Upto 2 TB","17.2 cm (6.77 inch) Display","50MP + 50MP + 8MP | 16MP Front Camera","5000 mAh Battery","Dimensity 7300 Pro 5G Processor","1 Year Manufacturing Warranty","₹18,999","₹22,999","17% off","Off on Exchange","Bank Offer"
"realme P3 Ultra 5G (Glowing Lunar White, 256 GB)","4.4","2,753 Ratings","412 Reviews","8 GB RAM | 256 GB ROM","17.35 cm (6.83 inch) Display","50MP + 8MP | 16MP Front Camera","6000 mAh Battery","Dimensity 8350 Ultra Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹25,999","₹33,999","23% off","Off on Exchange","Bank Offer"
"SAMSUNG Galaxy A36 5G (Awesome Lavender, 256 GB)","4.3","474 Ratings","41 Reviews","8 GB RAM | 256 GB ROM","17.02 cm (6.7 inch) Full HD+ Display","50MP + 8MP | 12MP Front Camera","5000 mAh Battery","Qualcomm Snapdragon 6 Gen 3 Processor","1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories","₹33,999","₹38,999","12% off","Off on Exchange","Bank Offer"
"realme 14 Pro+ 5G (Suede Grey, 256 GB)","4.4","4,434 Ratings","574 Reviews","12 GB RAM | 256 GB ROM","17.35 cm (6.83 inch) Display","50MP + 50MP + 8MP | 32MP Front Camera","6000 mAh Battery","7s Gen 3 Mobile Platform Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹34,999","₹37,999","7% off","Off on Exchange","Bank Offer"
"OnePlus 13R 5G (Nebula Noir, 512 GB)","4.5","340 Ratings","26 Reviews","16 GB RAM | 512 GB ROM","17.22 cm (6.78 inch) Display","50MP Rear Camera","6000 mAh Battery","1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase","","₹43,365","₹51,999","16% off","",""
"vivo V50 5G (Rose Red, 256 GB)","4.5","4,273 Ratings","413 Reviews","8 GB RAM | 256 GB ROM","17.2 cm (6.77 inch) Display","50MP + 50MP | 50MP Front Camera","6000 mAh Battery","7 Gen 3 Processor","1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories","₹36,999","₹42,999","13% off","Off on Exchange","Bank Offer"
"realme GT 6 (Fluid Silver, 512 GB)","4.5","4,794 Ratings","548 Reviews","16 GB RAM | 512 GB ROM","17.22 cm (6.78 inch) Full HD+ Display","50MP + 8MP + 50MP | 32MP Front Camera","5500 mAh Battery","8s Gen 3 Mobile Platform Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹36,999","₹51,999","28% off","Off on Exchange","Bank Offer"
"realme 14 Pro+ 5G (Pearl White, 256 GB)","4.4","6,998 Ratings","1,054 Reviews","8 GB RAM | 256 GB ROM","17.35 cm (6.83 inch) Display","50MP + 50MP + 8MP | 32MP Front Camera","6000 mAh Battery","7s Gen 3 Mobile Platform Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹31,999","₹35,999","11% off","Off on Exchange","Bank Offer"
"realme 14 Pro+ 5G (Suede Grey, 256 GB)","4.4","6,998 Ratings","1,054 Reviews","8 GB RAM | 256 GB ROM","17.35 cm (6.83 inch) Display","50MP + 50MP + 8MP | 32MP Front Camera","6000 mAh Battery","7s Gen 3 Mobile Platform Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹31,999","₹35,999","11% off","Off on Exchange","Bank Offer"
"realme 13 Pro+ 5G (Emerald Green, 256 GB)","4.4","13,017 Ratings","1,336 Reviews","8 GB RAM | 256 GB ROM","17.02 cm (6.7 inch) Full HD+ Display","50MP + 8MP + 50MP | 32MP Front Camera","5200 mAh Battery","Snapdragon 7s Gen2 Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹25,999","₹36,999","29% off","Off on Exchange","Bank Offer"
"realme GT 6 (Razor Green, 256 GB)","4.5","1,445 Ratings","147 Reviews","12 GB RAM | 256 GB ROM","17.22 cm (6.78 inch) Full HD+ Display","50MP + 8MP + 50MP | 32MP Front Camera","5500 mAh Battery","8s Gen 3 Mobile Platform Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹30,999","₹46,999","34% off","Off on Exchange","Bank Offer"
"vivo T3 Ultra (Frost Green, 256 GB)","4.5","7,957 Ratings","639 Reviews","12 GB RAM | 256 GB ROM","17.22 cm (6.78 inch) Display","50MP + 8MP | 50MP Front Camera","5500 mAh Battery","Dimensity 9200+ Processor","1 Year Warranty on Handset and 6 Months Warranty on Accessories","₹30,999","₹39,999","22% off","Off on Exchange","Bank Offer"
"OnePlus 13R 5G (Nebula Noir, 256 GB)","4.5","1,318 Ratings","119 Reviews","12 GB RAM | 256 GB ROM","17.22 cm (6.78 inch) Display","50MP Rear Camera","6000 mAh Battery","1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase","","₹39,538","₹44,999","12% off","",""
"SAMSUNG Galaxy A36 5G (Awesome White, 128 GB)","4.3","474 Ratings","41 Reviews","8 GB RAM | 128 GB ROM","17.02 cm (6.7 inch) Full HD+ Display","50MP + 8MP | 12MP Front Camera","5000 mAh Battery","Qualcomm Snapdragon 6 Gen 3 Processor","1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories","₹30,999","₹35,999","13% off","Off on Exchange","Bank Offer"
"realme 14 Pro+ 5G (Bikaner Purple, 256 GB)","4.4","6,998 Ratings","1,054 Reviews","8 GB RAM | 256 GB ROM","17.35 cm (6.83 inch) Display","50MP + 50MP + 8MP | 32MP Front Camera","6000 mAh Battery","7s Gen 3 Mobile Platform Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹31,999","₹35,999","11% off","₹20,150","Off on Exchange"
"realme GT 6 (Fluid Silver, 256 GB)","4.5","1,445 Ratings","147 Reviews","12 GB RAM | 256 GB ROM","17.22 cm (6.78 inch) Full HD+ Display","50MP + 8MP + 50MP | 32MP Front Camera","5500 mAh Battery","8s Gen 3 Mobile Platform Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹30,999","₹46,999","34% off","Off on Exchange","Bank Offer"
"OnePlus 13R 5G (Astral Trail, 512 GB)","4.5","340 Ratings","26 Reviews","16 GB RAM | 512 GB ROM","17.22 cm (6.78 inch) Display","50MP Rear Camera","6000 mAh Battery","1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase","","₹43,233","₹51,999","16% off","",""
"realme 14 Pro+ 5G (Pearl White, 256 GB)","4.4","4,434 Ratings","574 Reviews","12 GB RAM | 256 GB ROM","17.35 cm (6.83 inch) Display","50MP + 50MP + 8MP | 32MP Front Camera","6000 mAh Battery","7s Gen 3 Mobile Platform Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹34,999","₹37,999","7% off","Off on Exchange","Bank Offer"
"SAMSUNG Galaxy A56 5G (Awesome Olive, 128 GB)","4.3","197 Ratings","21 Reviews","8 GB RAM | 128 GB ROM","17.02 cm (6.7 inch) Full HD+ Display","50MP + 12MP + 5MP | 12MP Front Camera","5000 mAh Battery","Samsng Exynos 1580 Processor","1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories","₹38,999","₹45,999","15% off","₹27,950","Off on Exchange"
"realme GT 6 (Razor Green, 512 GB)","4.5","4,794 Ratings","548 Reviews","16 GB RAM | 512 GB ROM","17.22 cm (6.78 inch) Full HD+ Display","50MP + 8MP + 50MP | 32MP Front Camera","5500 mAh Battery","8s Gen 3 Mobile Platform Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹36,999","₹51,999","28% off","₹23,600","Off on Exchange"
"vivo V50 5G (Titanium Grey, 512 GB)","4.5","1,208 Ratings","116 Reviews","12 GB RAM | 512 GB ROM","17.2 cm (6.77 inch) Display","50MP + 50MP | 50MP Front Camera","6000 mAh Battery","7 Gen 3 Processor","1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories","₹40,999","₹48,999","16% off","Off on Exchange","Bank Offer"
"vivo V50 5G (Rose Red, 128 GB)","4.5","4,273 Ratings","413 Reviews","8 GB RAM | 128 GB ROM","17.2 cm (6.77 inch) Display","50MP + 50MP | 50MP Front Camera","6000 mAh Battery","7 Gen 3 Processor","1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories","₹34,999","₹39,999","12% off","Off on Exchange","Bank Offer"
"OnePlus Nord 4 5G (Oasis Green, 256 GB)","4.5","2,640 Ratings","156 Reviews","8 GB RAM | 256 GB ROM","17.12 cm (6.74 inch) Display","50MP Rear Camera","5500 mAh Battery","1 Year","","₹28,285","₹32,999","14% off","",""
"OnePlus Nord 4 5G (Obsidian Midnight, 256 GB)","4.5","2,640 Ratings","156 Reviews","8 GB RAM | 256 GB ROM","17.12 cm (6.74 inch) Display","50MP Rear Camera","5500 mAh Battery","1 Year","","₹29,985","₹32,999","9% off","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""