"JobTitle","CompanyName","Address","Salary","Requirement","Work","Work2"
"Data Scientist","Predigle-An Esper Group Company","Remote","₹5,00,000 - ₹10,00,000 a year","Experience with SQL for  manipulation and analysis.","data","Assist in designing, training, and optimizing ML/NLP models using PyTorch, NLTK, Scikit-learn, and…"
"Data scientist/AIML Engineer","3Pillar Global","Remote","₹25,00,000 - ₹30,00,000 a year","Proficiency in  modeling and analysis.","data","This is a full-time on-site role in Mumbai for an  scientist/AIML Engineer with a minimum of 4+ years of…"
"Data Scientist","Technology-Next","Remote","₹14,00,000 - ₹18,00,000 a year","You’ll work on high-impact projects using machine learning and big  technologies to solve complex business problems and drive actionable insights.","data",""
"Data Scientist","CosmicFusion Labs","Remote","₹80,000 - ₹1,00,000 a month","Comfortable working with both structured and unstructured data.","Data Handling: Manage efficient  serialization/deserialization between backend and…","data"
"Principal Member of technical Staff- AI & Data Engineering","Athenahealth","Chennai, Tamil Nadu","Full-time","Experience with structured & unstructured data:","The role involves working on large-scale projects, optimizing AI/ML pipelines, and ensuring scalable data…",""
"Data Scientist / Engineer","Cyquent india Private Limited","Remote","From ₹5,00,000 a year","Strong skills in  wrangling, statistical modeling, machine learning, and  visualization.","data","data"
"Data Scientist","Mindwise Technologies","Remote","₹5,66,575.45 - ₹25,17,185.34 a year","Collaborate with  engineers to build scalable  pipelines.","data","data"
"Data Scientist","Orangeshark","Remote","₹20,00,000 - ₹30,00,000 a year"," Possess 5-7 years of experience in the field of  science.","data"," Programming Skills –R, Python, and database query languages like SQL, Hive, Pig is desirable."
"Data Scientist (AI)","Dicetek LLC","Remote","","Familiarity with Azure Databricks for scalable  processing and collaborative ML development.","data","Strong understanding of  privacy, compliance, and ethical…"
"Data Scientist","Hire IT People","Pune, Maharashtra","","Some knowledge of big  technologies like Hadoop, Apache Spark will be an added advantage.","data","Looking for a   who is excited by the prospects of…"
"Data Scientist","FullThrottle Labs Pvt Ltd","Pune, Maharashtra","₹14,00,000 - ₹15,00,000 a year","Ideal Profile 3–4 years’ data-science experience in production settings.","Collaborating with statisticians, engineers and product managers, you transform complex…",""
"Data Scientist","Emplay Inc","Remote","₹10,00,000 - ₹15,00,000 a year","Develop and implement  models and algorithms to solve complex business.","data","Conduct  analysis and provide insights to support decision-making processes."
"Data Scientist/Analyst","Sumeru","Remote","","Analyse large and complex  sets from multiple sources.","data","Communicating insights and helping to structure the  roadmap."
"Data Scientist","Funding Societies | Modalku Group","Hybrid work in Bengaluru, Karnataka","","1-3 years of experience in  science or related fields.","data","Dive into real-world  to design and develop machine learning models for credit scoring, risk…"
"Data Scientist (Remote)","Pricelabs","Remote in Pune, Maharashtra","","Strong understanding of analysis of algorithms,  structures and statistics.","data","Process, analyse, model, and visualise findings from our market-level supply and…"